sample_id,rouge1_f1,rouge2_f1,rougeL_f1,faithfulness,gen_length,ref_length
676,0.4088,0.0959,0.1492,"Unfaithful.

The summary contains information not ",487,583
53,0.4847,0.1538,0.2017,"Faithful

The summary accurately captures the key ",530,508
289,0.6534,0.3083,0.2932,"Faithful

The summary accurately captures the key ",556,556
942,0.459,0.1432,0.2108,"Unfaithful.

The summary contains information not ",519,322
595,0.4648,0.0766,0.1811,"Faithful

The summary accurately captures the key ",532,448
409,0.5332,0.1682,0.2103,"Faithful

The summary accurately captures the key ",525,538
150,0.5841,0.2483,0.2236,"Faithful

The summary accurately captures the key ",478,632
221,0.495,0.1617,0.1886,"Unfaithful.

The summary introduces new informatio",498,580
490,0.5692,0.2512,0.2249,"Faithful

The summary accurately captures the main",548,432
374,0.5545,0.1984,0.198,"Faithful

The summary accurately captures the key ",522,555
49,0.4021,0.1041,0.1575,"Faithful

The summary accurately captures the main",521,784
364,0.5183,0.1567,0.207,"Unfaithful.

The summary contains information abou",480,691
557,0.4559,0.131,0.1744,"Faithful

The summary accurately captures the key ",559,531
666,0.537,0.1798,0.2004,"Faithful

The summary accurately captures the key ",549,758
241,0.5012,0.1518,0.2182,"Faithful

The summary accurately captures the key ",537,657
930,0.4987,0.1209,0.1686,"Faithful

The summary accurately captures the key ",518,570
743,0.4119,0.0809,0.1384,"Unfaithful.

The summary introduces new informatio",546,636
85,0.4269,0.1345,0.1558,"Faithful

The summary accurately captures the main",549,1203
702,0.4948,0.16,0.224,"Faithful

The summary accurately captures the key ",514,621
522,0.4931,0.1047,0.1657,"Faithful

The summary accurately captures the key ",481,523
316,0.5267,0.1687,0.2158,"Faithful

The summary accurately captures the key ",398,591
185,0.5305,0.1095,0.181,"Unfaithful.

The summary contains several inaccura",518,568
231,0.5175,0.19,0.2228,"Faithful

The summary accurately captures the main",519,539
443,0.576,0.2481,0.2495,"Faithful

The summary accurately captures the key ",535,502
404,0.5837,0.2157,0.2504,"Faithful

The summary accurately captures the key ",564,662
683,0.4454,0.1595,0.2316,"Faithful

The summary accurately reflects the key ",496,819
320,0.6242,0.2652,0.2626,"Faithful

The summary accurately captures the key ",530,441
778,0.5259,0.2052,0.2461,"Faithful

The summary accurately captures the key ",474,279
871,0.5839,0.2601,0.2774,"Faithful

The summary accurately captures the key ",481,402
56,0.6107,0.2346,0.238,"Faithful

The summary accurately captures the key ",531,493
33,0.5901,0.2156,0.2224,"Faithful

The summary accurately captures the key ",518,537
537,0.5218,0.186,0.2173,"Faithful

The summary accurately captures the key ",512,552
568,0.5418,0.1803,0.1967,"Faithful

The summary accurately captures the key ",433,511
189,0.3929,0.089,0.1441,"Unfaithful.

The summary contains several inaccura",414,573
425,0.5792,0.1831,0.208,"Faithful

The summary accurately captures the key ",542,475
427,0.4751,0.1451,0.182,"Unfaithful.

The summary contains information not ",526,630
732,0.4911,0.1745,0.2009,"Faithful

The summary accurately captures the key ",544,321
184,0.5575,0.2263,0.2218,"Faithful

The summary accurately captures the key ",450,537
857,0.5667,0.2643,0.2459,"Faithful

The summary accurately captures the key ",536,738
16,0.5108,0.1744,0.1957,"Faithful

The summary accurately captures the key ",464,698
813,0.537,0.2081,0.2152,"Faithful

The summary accurately captures the key ",517,530
334,0.4859,0.185,0.2138,"Faithful

The summary accurately captures the key ",425,592
716,0.5543,0.183,0.2435,"Faithful

The summary accurately captures the key ",485,415
886,0.4511,0.1252,0.1522,"Unfaithful.

The summary contains information not ",511,535
868,0.4905,0.1549,0.1832,"Faithful

The summary accurately captures the key ",443,532
480,0.4789,0.1594,0.173,"Faithful

The summary accurately captures the key ",515,902
411,0.5306,0.2062,0.2343,"Faithful

The summary accurately captures the key ",457,617
933,0.6087,0.2232,0.2736,"Faithful

The summary accurately reflects the key ",499,572
392,0.5497,0.1955,0.2209,"Faithful

The summary accurately captures key poin",519,637
770,0.59,0.2227,0.2714,"Faithful

The summary accurately captures the key ",518,500
426,0.524,0.1519,0.1904,"Faithful

The summary accurately captures the key ",503,653
812,0.5083,0.1626,0.2109,"Faithful

The summary accurately reflects the deta",536,790
749,0.5732,0.2855,0.2368,"Faithful

The summary accurately captures the key ",516,772
652,0.4935,0.1419,0.1922,"Verdict: Partially Faithful

Explanation: The summ",578,614
149,0.502,0.1636,0.2097,"Faithful

The summary accurately captures the key ",447,531
18,0.5372,0.1912,0.1993,"Faithful

The summary accurately captures the key ",543,639
870,0.5375,0.1895,0.2434,"Faithful

The summary accurately captures the main",464,571
302,0.5544,0.1712,0.239,"Faithful

The summary accurately captures the main",548,635
564,0.4889,0.129,0.1817,"Faithful

The summary accurately captures the key ",513,671
507,0.5792,0.1709,0.2174,"Faithful

The summary accurately captures the key ",480,563
797,0.5337,0.2077,0.3125,"Faithful

The summary accurately captures the key ",250,163
232,0.4743,0.1326,0.1838,"Faithful

The summary accurately captures the key ",513,544
325,0.5741,0.19,0.2448,"Faithful

The summary accurately captures the main",490,645
571,0.5286,0.1502,0.1799,"Unfaithful.

The summary introduces the concept of",550,494
38,0.5387,0.1258,0.1802,"Faithful

The summary accurately captures the key ",503,567
174,0.4688,0.1166,0.1737,"Partially Faithful

The summary captures several k",520,647
898,0.5086,0.1532,0.1667,"Faithful

The summary accurately reflects the key ",507,644
455,0.5335,0.1499,0.2077,"Faithful

The summary accurately captures the key ",524,599
922,0.5352,0.1523,0.1726,"Faithful

The summary accurately captures the key ",542,674
76,0.4593,0.1206,0.163,"Faithful

The summary accurately captures the key ",503,572
638,0.4732,0.1589,0.2122,"Faithful

The summary accurately captures the key ",468,326
533,0.4817,0.1371,0.1987,"Faithful

The summary accurately reflects the key ",493,559
814,0.4904,0.1289,0.2139,"Faithful

The summary accurately captures the key ",504,621
423,0.5278,0.2035,0.2153,"Unfaithful.

The summary contains information not ",522,599
884,0.5306,0.1285,0.1652,"Faithful

The summary accurately captures key poin",546,465
775,0.4509,0.1361,0.1939,"Faithful

The summary accurately captures the key ",453,343
318,0.5244,0.1684,0.1798,"Faithful

The summary accurately captures the key ",525,672
358,0.4929,0.1335,0.1789,"Faithful

The summary accurately captures the key ",466,584
200,0.476,0.2035,0.2074,"Faithful

The summary accurately captures the key ",316,595
753,0.5178,0.1405,0.2201,"Faithful

Explanation: The summary accurately capt",471,442
525,0.5582,0.2099,0.2205,"Faithful

The summary accurately captures the key ",558,709
386,0.5679,0.2102,0.2399,"Faithful

The summary accurately captures the key ",501,620
653,0.4237,0.1358,0.1818,"Unfaithful.

The summary includes information abou",436,870
198,0.4561,0.1371,0.2035,"Faithful

The summary accurately captures the key ",472,658
581,0.5217,0.1358,0.1977,"Faithful

The summary accurately captures the key ",511,527
349,0.5752,0.2118,0.2549,"Faithful

The summary accurately captures the key ",423,481
34,0.5106,0.1462,0.1785,"Faithful

The summary accurately captures the key ",501,539
617,0.5154,0.152,0.2018,"Faithful

The summary accurately captures the key ",536,621
471,0.5401,0.2235,0.2525,"Faithful

The summary accurately captures the main",404,663
